OBJECTID,Site_Description,Date_Sample_Collected,Result_Name,Result_Label
189,Mundoo Barrage Downstream,17/06/2025,Oocystis,"4,430,000 Cells/L"
190,Mundoo Barrage Downstream,17/06/2025,Romeria,"140,000 Cells/L"
191,Mundoo Barrage Downstream,17/06/2025,Crucigenia,"400,000 Cells/L"
192,Mundoo Barrage Downstream,17/06/2025,Planctonema,"2,510,000 Cells/L"
193,Mundoo Barrage Downstream,17/06/2025,Aphanizomenon,"8,420,000 Cells/L"
194,Mundoo Barrage Downstream,17/06/2025,Pediastrum,"170,000 Cells/L"
195,Mundoo Barrage Downstream,17/06/2025,Tetrastrum,"1,100,000 Cells/L"
196,Mundoo Barrage Downstream,17/06/2025,Euglena,"60,000 Cells/L"
197,Mundoo Barrage Downstream,17/06/2025,Scenedesmus,"2,050,000 Cells/L"
198,Mundoo Barrage Downstream,11/06/2025,Green Algae - Total,"4,180,000 Cells/L"
199,Mundoo Barrage Downstream,11/06/2025,Toxin producing BGA - Total,"15,000,000 Cells/L"
200,Mundoo Barrage Downstream,11/06/2025,Geosmin-MIB producing BGA - Total,0 Cells/L
201,Mundoo Barrage Downstream,11/06/2025,Diatoms - Total,"486,000 Cells/L"
202,Mundoo Barrage Downstream,11/06/2025,Blue Green Algae - Total,"227,000,000 Cells/L"
203,Mundoo Barrage Downstream,11/06/2025,Algae - Total,"232,000,000 Cells/L"
204,Mundoo Barrage Downstream,11/06/2025,Cylindrospermopsis raciborskii,"15,000,000 Cells/L"
205,Mundoo Barrage Downstream,11/06/2025,Dolichospermum (straight small),"44,000 Cells/L"
206,Mundoo Barrage Downstream,11/06/2025,Monoraphidium,"975,000 Cells/L"
207,Mundoo Barrage Downstream,11/06/2025,Aulacoseira,"102,000 Cells/L"
208,Mundoo Barrage Downstream,11/06/2025,Nitzschia,"370,000 Cells/L"
209,Mundoo Barrage Downstream,11/06/2025,Scenedesmus,"1,160,000 Cells/L"
210,Mundoo Barrage Downstream,11/06/2025,Oocystis,"610,000 Cells/L"
211,Mundoo Barrage Downstream,11/06/2025,Planctonema,"810,000 Cells/L"
212,Mundoo Barrage Downstream,11/06/2025,Asterionellopsis,"14,000 Cells/L"
213,Mundoo Barrage Downstream,11/06/2025,Crucigenia,"600,000 Cells/L"
214,Mundoo Barrage Downstream,11/06/2025,Planktolyngbya,"149,000,000 Cells/L"
215,Mundoo Barrage Downstream,11/06/2025,Schroederia,"30,000 Cells/L"
216,Mundoo Barrage Downstream,11/06/2025,Cyanogranis,"44,000,000 Cells/L"
217,Mundoo Barrage Downstream,11/06/2025,Romeria,"510,000 Cells/L"
218,Mundoo Barrage Downstream,11/06/2025,Merismopedia,"10,800,000 Cells/L"
219,Mundoo Barrage Downstream,11/06/2025,Chroomonas,"80,000 Cells/L"
220,Mundoo Barrage Downstream,11/06/2025,Aphanizomenon,"7,430,000 Cells/L"
221,Mundoo Barrage Downstream,20/05/2026,Pseudo-nitzschia,0 Cells/L
222,Mundoo Barrage Downstream,20/05/2026,Alexandrium catenella,0 Cells/L
223,Mundoo Barrage Downstream,20/05/2026,Alexandrium cysts,0 Cells/L
224,Mundoo Barrage Downstream,20/05/2026,Alexandrium margalefi,0 Cells/L
225,Mundoo Barrage Downstream,20/05/2026,Alexandrium minutum,0 Cells/L
226,Mundoo Barrage Downstream,20/05/2026,Alexandrium ostenfeldii,0 Cells/L
227,Mundoo Barrage Downstream,20/05/2026,Alexandrium sp.,0 Cells/L
228,Mundoo Barrage Downstream,20/05/2026,Alexandrium tamarense,0 Cells/L
229,Mundoo Barrage Downstream,20/05/2026,Dinophysis acuminata,0 Cells/L
230,Mundoo Barrage Downstream,20/05/2026,Dinophysis acuta,0 Cells/L
231,Mundoo Barrage Downstream,20/05/2026,Dinophysis caudata,0 Cells/L
232,Mundoo Barrage Downstream,20/05/2026,Gymnodinium catenatum,0 Cells/L
233,Mundoo Barrage Downstream,20/05/2026,Karenia sp.,"3,864 Cells/L"
234,Mundoo Barrage Downstream,20/05/2026,Karlodinium sp.,0 Cells/L
235,Mundoo Barrage Downstream,20/05/2026,Prorocentrum lima,0 Cells/L
236,Mundoo Barrage Downstream,23/03/2026,Pseudo-nitzschia,0 Cells/L
237,Mundoo Barrage Downstream,23/03/2026,Alexandrium catenella,0 Cells/L
238,Mundoo Barrage Downstream,23/03/2026,Alexandrium cysts,0 Cells/L
239,Mundoo Barrage Downstream,23/03/2026,Alexandrium margalefi,0 Cells/L
240,Mundoo Barrage Downstream,23/03/2026,Alexandrium minutum,0 Cells/L
241,Mundoo Barrage Downstream,23/03/2026,Alexandrium ostenfeldii,0 Cells/L
242,Mundoo Barrage Downstream,23/03/2026,Alexandrium sp.,0 Cells/L
243,Mundoo Barrage Downstream,23/03/2026,Alexandrium tamarense,0 Cells/L
244,Mundoo Barrage Downstream,23/03/2026,Dinophysis acuminata,0 Cells/L
